rank,title,company,location,salary,job_type,match_score,match_pct,top_matches,top_gaps,url,scraped_at
1,Business Intelligence Analyst,Adobe,"Lehi, UT 84043","$138,600 - $200,700 a year - Full-time",Full-time,0.3948,39.5%,"Advanced Analytics & Insights (0.50) | Embed advanced metrics, forecasting, and insights generated by machine learning directly into analytics experiences. (0.48) | 3+ years of hands-on experience in advanced analytics, data science, business intelligence, or data engineering roles. (0.45) | Demonstrable experience in building scalable data pipelines, advanced dashboards, and executive-level reporting (Power BI, Tableau, Adobe Workspace). (0.44) | Strong expertise in SQL, Python, Spark, and cloud platforms (Azure, AWS, or GCP). (0.42)","Fair Chance Ordinances (0.01) | In New York, the pay range for this position is $138,600 - $200,700 (0.09) | In California, the pay range for this position is $138,600 - $200,700 (0.11) | Adobe will consider qualified applicants with arrest or conviction records for employment in accordance with state and local laws and “fair chance” ordinances. (0.12) | Operational Excellence (0.12)",https://www.indeed.com/rc/clk?jk=fe744e7870f8a146&bb=1pPlFgPYWpNMO5i4BjGHLyZhOv9HubPcJcLKODsG8wNZud8W41d7f03iQ-3JwT4m3ZYFYcovWyUAmX8oIQPJaqSvOugSNW2KzttLYV_wsbB6y1lLaSz8d4u0ZBYWxj6j&xkcb=SoD867M3l3g1hrwViR0KbzkdCdPP&fccid=f89deb5a97c7738a&vjs=3,2026-04-08 22:47:38.224000
2,Sustainability Data Analyst,Cushman & Wakefield,"North Salt Lake, UT 84054","$53,550 - $63,000 a year - Full-time",Full-time,0.3602,36.0%,"Sustainability Data Analyst (0.38) | High level of experience with Microsoft Word and Excel (0.37) | Preparing energy models, collecting documentation, and troubleshooting issues to complete Energy Star Certification applications. (0.36)","The company will not pay less than minimum wage for this role. (0.02) | Cushman & Wakefield is an Equal Opportunity employer to all protected groups, including protected veterans and individuals with disabilities. Discrimination of any type will not be tolerated. (0.05) | The compensation for the position is: $ 53,550.00 - $63,000.00 (0.07) | Good communication skills (written and oral) (0.10) | Managing the submission of energy and water data to city/state entities to meet local ordinances (0.12)",https://www.indeed.com/rc/clk?jk=7ed4d2a35f34b23a&bb=1pPlFgPYWpNMO5i4BjGHL6HkCF4nUp1r5MRMmt43emP_CGOoFki8ikqHC_kqJNx9PQNLDdG6n1UeNgz2a4VQUnw2zl6WuYSHTqnhRHQZnbJvFTfshVI5_9e7FpVQbXt-&xkcb=SoBI67M3l3g1hrwViR0LbzkdCdPP&fccid=a5c381a5b33228a1&vjs=3,2026-04-08 22:47:27.574000
3,"Asset & Wealth Management, External Investing Group, Data Office, Analyst - Salt Lake City",Goldman Sachs,"Salt Lake City, UT 84111 
(Downtown area)",N/A,N/A,0.2496,25.0%,"Proficiency in Excel; exposure to SQL, Python, or BI tools is a plus (0.53) | 1–3 years of experience in data analysis, operations, technology, or a related role within financial services (0.41) | Assist in preparing dashboards, reports, and data summaries for internal stakeholders (0.39) | Exposure to data warehousing, reporting platforms, or workflow tools (0.38) | Work with investment professionals, operations, legal, compliance, and technology partners to understand data needs (0.36)",Stakeholder Engagement (0.09) | Build foundational stakeholder management skills through exposure to cross functional teams globally (0.09) | Data Governance & Quality (0.12) | Strong organizational skills and ability to manage multiple tasks (0.13) | Clear written and verbal communication skills (0.13),https://www.indeed.com/rc/clk?jk=7102a828db73961c&bb=1pPlFgPYWpNMO5i4BjGHL6szkIBaBDorzo2Kq56_KW9vmMpFJtK9XfuZ8RrECyuYqZBWl31tKXMiIL2NPwZBp0mB2nkZ8eh-4iG0kBKwhHNzD5ZSU3HsZIHE6CHyX2fi&xkcb=SoBh67M3l3g1hrwViR0JbzkdCdPP&fccid=16a97ed26c75bf2d&vjs=3,2026-04-08 22:47:47.352000
